i,lcs_%
3,0.4983050847457627
4,0.4872881355932203
5,0.46779661016949153
6,0.4429378531073446
7,0.44261501210653753
8,0.4292372881355932
9,0.4199623352165725
10,0.40644067796610167
11,0.39352850539291223
12,0.3909604519774011
13,0.3778357235984355
14,0.3736077481840194
15,0.368135593220339
16,0.36186440677966103
17,0.360518444666002
18,0.3576271186440678
19,0.3543264942016057
20,0.351864406779661
21,0.34915254237288135
22,0.3420647149460709
23,0.33824613117170227
24,0.33234463276836157
25,0.3290847457627119
26,0.3241199478487614
27,0.32178279974890145
28,0.32033898305084746
29,0.3157218001168907
30,0.31480225988700566
31,0.3096774193548387
32,0.30497881355932205
33,0.3059065228556754
34,0.30279162512462615
35,0.3023728813559322
36,0.2975517890772128
37,0.29775538250114525
38,0.292149866190901
39,0.2922207735767058
40,0.2879661016949152
